epoch,box_loss,cls_loss,dfl_loss,total_loss,precision,recall,mAP50,mAP50_95
1,1.275482,2.003027,1.326473,4.604982,0.670833,0.467808,0.573971,0.430520
2,1.228365,1.703894,1.333105,4.265364,0.556388,0.516842,0.557667,0.402501
3,1.173183,1.444392,1.258493,3.876068,0.636335,0.562204,0.640449,0.466103
4,1.131534,1.371185,1.273644,3.776363,0.758897,0.557809,0.677564,0.504535
5,1.188651,1.354972,1.266458,3.810081,0.684091,0.644705,0.697222,0.524282
6,1.108169,1.181381,1.222324,3.511874,0.742544,0.616625,0.704237,0.531040
7,1.105985,1.251926,1.225953,3.583863,0.727916,0.641307,0.715307,0.543215
8,1.077630,1.211131,1.227635,3.516396,0.691900,0.667143,0.720704,0.550529
9,1.118036,1.198413,1.236456,3.552905,0.689459,0.694599,0.734053,0.560495
10,1.071350,1.096456,1.219308,3.387115,0.744829,0.674858,0.748901,0.577942
11,1.077656,1.135071,1.239411,3.452138,0.783152,0.688120,0.760458,0.592499
12,1.058015,1.060157,1.228355,3.346527,0.841622,0.654950,0.764854,0.592811
13,1.040037,1.040532,1.212464,3.293033,0.815323,0.681057,0.771418,0.599809
14,1.096715,1.050128,1.214349,3.361192,0.850637,0.649447,0.764498,0.597545
15,1.027410,1.022273,1.169034,3.218717,0.739977,0.719646,0.773014,0.603645
16,1.069710,1.086844,1.213881,3.370435,0.744561,0.722608,0.773726,0.603315
17,1.043962,1.090604,1.175222,3.309789,0.787744,0.704310,0.777954,0.605487
18,0.989227,0.982464,1.146380,3.118071,0.790646,0.706274,0.780042,0.608299
19,1.019601,1.001225,1.172092,3.192919,0.753184,0.717974,0.779581,0.606943
20,1.019135,0.981995,1.164518,3.165648,0.747736,0.722223,0.782701,0.610127
