epoch,box_loss,cls_loss,dfl_loss,total_loss,precision,recall,mAP50,mAP50_95
1,1.223790,4.103112,1.236182,6.563084,0.003381,0.149445,0.018532,0.012718
2,1.275023,3.869135,1.242521,6.386678,0.005675,0.156798,0.034312,0.025667
3,1.289419,3.392341,1.284999,5.966759,0.003956,0.185303,0.044215,0.036252
4,1.153447,2.909905,1.303053,5.366404,1.000000,0.018101,0.063973,0.051528
5,1.162551,2.511111,1.201239,4.874902,0.983169,0.041116,0.077047,0.058627
6,1.145806,2.478861,1.222276,4.846943,0.965298,0.053642,0.086886,0.064521
7,1.133796,2.406785,1.165990,4.706572,0.837952,0.065945,0.123501,0.091570
8,1.215875,2.327871,1.231398,4.775144,0.956634,0.110091,0.240288,0.169078
9,1.228873,2.341591,1.202356,4.772821,0.804783,0.203784,0.315001,0.210145
10,1.120388,2.049470,1.175639,4.345497,0.496466,0.313239,0.389262,0.262164
11,1.102807,1.883030,1.161858,4.147695,0.589839,0.385953,0.442346,0.301282
12,1.131813,1.999464,1.200766,4.332043,0.558546,0.396962,0.467781,0.321935
13,1.149144,1.913732,1.204085,4.266960,0.539048,0.454104,0.492475,0.341105
14,1.097529,1.755365,1.196436,4.049330,0.574151,0.447105,0.499949,0.350588
15,1.094789,1.746674,1.184288,4.025751,0.521812,0.506468,0.522751,0.363519
16,1.133667,1.768687,1.196833,4.099186,0.606606,0.510305,0.550344,0.385256
17,1.016000,1.631206,1.118001,3.765207,0.661222,0.515651,0.566252,0.400141
18,1.092828,1.620370,1.161471,3.874669,0.654452,0.553312,0.585043,0.412866
19,1.068577,1.627985,1.164936,3.861498,0.651544,0.579959,0.592982,0.421093
20,1.072278,1.740097,1.160258,3.972634,0.652765,0.569190,0.611998,0.432274
21,1.106679,1.649028,1.168990,3.924697,0.696323,0.593835,0.621222,0.443699
22,1.133899,1.689612,1.161826,3.985337,0.638308,0.613226,0.627067,0.448144
23,1.035754,1.599316,1.091131,3.726201,0.624075,0.606152,0.629158,0.453254
24,1.108555,1.513898,1.155948,3.778401,0.663899,0.586765,0.632489,0.452778
25,1.047585,1.636234,1.145366,3.829186,0.654362,0.605206,0.641276,0.464518
26,1.048306,1.888932,1.088227,4.025464,0.676299,0.607723,0.649822,0.467250
27,1.047667,2.041845,1.127051,4.216562,0.699224,0.596586,0.652549,0.465154
28,1.043265,1.886073,1.107735,4.037072,0.707271,0.575937,0.650907,0.463689
29,0.987851,2.095612,1.119173,4.202636,0.698787,0.574123,0.649525,0.462565
30,1.024847,2.810629,1.066992,4.902468,0.716385,0.568582,0.646132,0.459463
